"No of 
Consecutive
Frames",Likelihoodvalue,Class,Precision  ,Recall,f2-score,Support
,,,,,,
25,0.7,0,0.95,0.51,0.55851064,83
,,1,0.36,0.92,0.70121951,25
,,micro avg,0.66,0.71,0.62,108
,0.8,0,0.96,0.59,0.63968668,83
,,1,0.4,0.92,0.73248408,25
,,micro avg,0.68,0.76,0.68,108
,0.9,0,0.95,0.69,0.72704082,83
,,1,0.46,0.88,0.74324324,25
,,micro avg,0.7,0.78,0.73,108
50,0.7,0,0.95,0.51,0.76142132,83
,,1,0.36,0.92,0.67375887,25
,,macro avg,0.66,0.71,0.71,108
,0.8,0,0.9,0.77,0.79145729,82
,,1,0.49,0.72,0.65693431,25
,,macro avg,0.69,0.74,0.72,107
,0.9,0,0.88,0.83,0.83950617,82
,,1,0.53,0.64,0.61538462,25
,,macro avg,0.71,0.73,0.72,107
100,0.7,0,0.88,0.81,0.76142132,81
,,1,0.52,0.64,0.67375887,25
,,macro avg,0.7,0.73,0.71,106
,0.8,0,0.86,0.83,0.79145729,81
,,1,0.5,0.56,0.65693431,25
,,macro avg,0.68,0.69,0.69,106
,0.9,0,0.86,0.96,0.93975904,81
,,1,0.8,0.48,0.52173913,25
,,macro avg,0.83,0.72,0.73,106
