"No of 
Consecutive
Frames",Likelihoodvalue,Class,Precision  ,Recall,f2-score,Support
,,,,,,
25,0.7,0,0.92,0.88,0.88807786,83
,,1,0.66,0.76,0.73643411,25
,,macro avg,0.79,0.82,0.8122559837,108
,0.8,0,0.86,0.89,0.88516746,83
,,1,0.59,0.52,0.53278689,25
,,macro avg,0.73,0.71,0.7089771747,108
,0.9,0,0.84,0.94,0.91764706,83
,,1,0.67,0.4,0.43478261,25
,,macro avg,0.75,0.67,0.6762148338,108
50,0.7,0,0.87,0.92,0.90692124,83
,,1,0.67,0.56,0.5785124,25
,,macro avg,0.77,0.74,0.7427168189,108
,0.8,0,0.84,0.94,0.91764706,83
,,1,0.67,0.4,0.43478261,25
,,macro avg,0.75,0.67,0.6762148338,108
,0.9,0,0.81,0.99,0.94688222,83
,,1,0.86,0.24,0.28037383,25
,,macro avg,0.83,0.61,0.6136280244,108
100,0.7,0,0.82,0.96,0.93240093,83
,,1,0.73,0.32,0.36036036,25
,,macro avg,0.78,0.64,0.6463806464,108
,0.8,0,0.8,0.99,0.94252874,83
,,1,0.8,0.16,0.19047619,25
,,macro avg,0.8,0.57,0.5665024631,108
,0.9,0,0.79,0.99,0.94036697,83
,,1,0.75,0.12,0.14423077,25
,,macro avg,0.77,0.55,0.5422988709,108
